"건물용도코드","건물일련번호","경도","위도","건물종류","가점척도"
21005,155257,127.1570067,36.7375616,"휴게소",1
21005,155256,127.157524,36.73703063,"휴게소",1
3007,53464,127.1264302,36.78689499,"마을공동시설",1
16999,53448,127.1264525,36.78593541,"기타자동차관련시설",1
16999,53447,127.1264391,36.78588098,"기타자동차관련시설",1
16999,53450,127.1272098,36.78576308,"기타자동차관련시설",1
16999,53449,127.1273732,36.78586978,"기타자동차관련시설",1
3001,154774,127.1281606,36.78573989,"소매점",1
3001,53455,127.1290413,36.78571166,"소매점",1
16999,53454,127.1293097,36.78568475,"기타자동차관련시설",1
3001,53460,127.1295737,36.7856676,"소매점",1
6100,140096,127.1355535,36.78450087,"도매시장",1
3999,53438,127.1499728,36.78133596,"기타제1종근생",1
4999,53439,127.150086,36.78162242,"기타제2종근생",1
3001,137914,127.1508616,36.78155439,"소매점",1
10204,151374,127.1528516,36.78133509,"사무소",1
3001,53437,127.1541681,36.78122285,"소매점",1
3001,142968,127.1545557,36.78120254,"소매점",1
13100,53435,127.1549401,36.78120738,"일반공장",1
13100,53436,127.1550323,36.78066771,"일반공장",1
13100,53432,127.1547202,36.78118648,"일반공장",1
13100,53433,127.1552171,36.78089283,"일반공장",1
13100,53434,127.1546753,36.78133436,"일반공장",1
13100,53429,127.1554581,36.78114302,"일반공장",1
13100,53430,127.1554291,36.78126225,"일반공장",1
13100,53428,127.1553653,36.78115546,"일반공장",1
3001,143448,127.1571477,36.78089576,"소매점",1
3999,58845,127.1582666,36.78057075,"기타제1종근생",1
4402,142333,127.1582801,36.78032037,"사무소",1
13100,53426,127.1600057,36.78089017,"일반공장",1
13100,53427,127.1592699,36.7808558,"일반공장",1
14001,144016,127.2080083,36.78151197,"창고",1
14001,144017,127.2083141,36.78133476,"창고",1
4999,134797,127.2090285,36.78197567,"기타제2종근생",1
4999,134798,127.2086658,36.78186479,"기타제2종근생",1
4402,53474,127.2094227,36.78155036,"사무소",1
3001,135532,127.2095401,36.781474,"소매점",1
4999,134796,127.2096998,36.781332,"기타제2종근생",1
14001,141509,127.2102233,36.78147425,"창고",1
14001,141507,127.2098275,36.78137252,"창고",1
14001,141508,127.210065,36.78157778,"창고",1
14001,141510,127.2102222,36.78126547,"창고",1
14001,141511,127.2101456,36.78107066,"창고",1
3001,142969,127.2112137,36.78081444,"소매점",1
14001,142738,127.2114955,36.78072742,"창고",1
14001,142739,127.2113825,36.7805667,"창고",1
14001,142740,127.2114759,36.78052934,"창고",1
14001,142187,127.2117243,36.78032826,"창고",1
14001,142711,127.2119728,36.78041663,"창고",1
14001,142712,127.2121245,36.7802186,"창고",1
14001,53475,127.2180028,36.77525253,"창고",1
3001,138004,127.2206125,36.77363623,"소매점",1
4402,152775,127.2243566,36.77154042,"사무소",1
3001,152776,127.2244582,36.77139933,"소매점",1
3001,53469,127.2256006,36.77128584,"소매점",1
4005,144526,127.225231,36.77095283,"제조업소",1
4999,53467,127.2402485,36.76517015,"기타제2종근생",1
3999,53466,127.2403762,36.76488813,"기타제1종근생",1
3001,144687,127.2404021,36.76462245,"소매점",1
4001,145802,127.1270919,36.7757727,"일반음식점",1
3999,146975,127.1274018,36.77634525,"기타제1종근생",1
3001,143924,127.127588,36.77672124,"소매점",1
3001,143698,127.1276146,36.77692943,"소매점",1
3001,140842,127.1276843,36.7771801,"소매점",1
4001,145886,127.1273642,36.77711791,"일반음식점",1
4402,142746,127.1276081,36.77759695,"사무소",1
4402,143458,127.1279115,36.77789461,"사무소",1
3001,144178,127.1274545,36.77786341,"소매점",1
4001,146034,127.1278584,36.77896012,"일반음식점",1
3001,144368,127.1276918,36.77935493,"소매점",1
3001,143008,127.1277198,36.77985363,"소매점",1
4001,144633,127.1273677,36.78013303,"일반음식점",1
4001,138895,127.127755,36.78016605,"일반음식점",1
4001,142450,127.1270388,36.78043495,"일반음식점",1
4001,142449,127.127729,36.78062612,"일반음식점",1
16999,138210,127.1278382,36.78371707,"기타자동차관련시설",1
16999,138211,127.1279833,36.78352516,"기타자동차관련시설",1
3001,144751,127.1279567,36.78399537,"소매점",1
3001,136929,127.1278746,36.78435281,"소매점",1
3001,136930,127.1281833,36.7842198,"소매점",1
4006,143979,127.1288139,36.78422572,"수리점",1
4001,145865,127.1279438,36.78482383,"일반음식점",1
4001,145866,127.1279394,36.78470238,"일반음식점",1
4001,144186,127.1288479,36.78476496,"일반음식점",1
