"X_COORD","Y_COORD","sum_Total"
"959033.991787","1853229.14739",6.41
"959083.991787","1851179.14739",0.1
"959083.991787","1851229.14739",0.28
"959083.991787","1851279.14739",0
"959083.991787","1851329.14739",0
"959083.991787","1851379.14739",0.25
"959083.991787","1851679.14739",0.28
"959083.991787","1852579.14739",0
"959083.991787","1852629.14739",0.43
"959083.991787","1852829.14739",29.93
"959083.991787","1852879.14739",196.24
"959083.991787","1853129.14739",67.87
"959083.991787","1853179.14739",2.26
"959083.991787","1853229.14739",4.15
"959133.991787","1851329.14739",2.97
"959133.991787","1851379.14739",3.01
"959133.991787","1851529.14739",0.48
"959133.991787","1852579.14739",5.12
"959133.991787","1852629.14739",5.12
"959133.991787","1852679.14739",3.6
"959133.991787","1852829.14739",191.46
"959133.991787","1852879.14739",505.04
"959133.991787","1853029.14739",3.27
"959133.991787","1853079.14739",43.51
"959133.991787","1853129.14739",80.33
"959133.991787","1853179.14739",2.53
"959183.991787","1851279.14739",0.1
"959183.991787","1851379.14739",1.81
"959183.991787","1851429.14739",19.91
"959183.991787","1851529.14739",0.52
"959183.991787","1851629.14739",0.52
"959183.991787","1852629.14739",6.68
"959183.991787","1852679.14739",14.76
"959183.991787","1852829.14739",138.99
"959183.991787","1852879.14739",560.77
"959183.991787","1852929.14739",37.41
"959183.991787","1852979.14739",11.13
"959183.991787","1853029.14739",4.29
"959183.991787","1853079.14739",27.07
"959183.991787","1853129.14739",34.39
"959183.991787","1853179.14739",2.53
"959183.991787","1853229.14739",2.26
"959233.991787","1851429.14739",0.31
"959233.991787","1851479.14739",3.24
"959233.991787","1851529.14739",3.5
"959233.991787","1851879.14739",0.96
"959233.991787","1851929.14739",1.06
"959233.991787","1852679.14739",12.87
"959233.991787","1852729.14739",6.18
"959233.991787","1852779.14739",1.74
"959233.991787","1852829.14739",120.55
"959233.991787","1852879.14739",60.93
"959233.991787","1853079.14739",2.16
"959233.991787","1853179.14739",2.53
"959233.991787","1853229.14739",4.13
"959233.991787","1853279.14739",0
"959283.991787","1851329.14739",0
"959283.991787","1851529.14739",3.52
"959283.991787","1851579.14739",3.58
"959283.991787","1851879.14739",0.52
"959283.991787","1851929.14739",0.17
"959283.991787","1852279.14739",0.3
"959283.991787","1852679.14739",0.57
"959283.991787","1852729.14739",1.95
"959283.991787","1852779.14739",18.72
"959283.991787","1852829.14739",52.2
"959283.991787","1852879.14739",50.32
"959283.991787","1853279.14739",0.15
"959333.991787","1851479.14739",0.65
"959333.991787","1851579.14739",4.92
"959333.991787","1851629.14739",9.28
"959333.991787","1851679.14739",1.63
"959333.991787","1851979.14739",4.28
"959333.991787","1852079.14739",0.71
"959333.991787","1852729.14739",45.44
"959333.991787","1852779.14739",189.91
"959333.991787","1852829.14739",99.31
"959333.991787","1852879.14739",11.52
"959333.991787","1853279.14739",0
"959333.991787","1853329.14739",0.01
"959333.991787","1853379.14739",0
"959333.991787","1853429.14739",0
"959383.991787","1851679.14739",1.87
"959383.991787","1851729.14739",1.18
"959383.991787","1851979.14739",5.17
"959383.991787","1852029.14739",2.79
"959383.991787","1852079.14739",0.33
"959383.991787","1852729.14739",18.25
"959383.991787","1852779.14739",306.33
"959383.991787","1852829.14739",201.37
"959383.991787","1852879.14739",60.43
"959383.991787","1852929.14739",9.42
"959383.991787","1853429.14739",0
"959433.991787","1851629.14739",0.26
"959433.991787","1851729.14739",1.35
"959433.991787","1851779.14739",1.56
"959433.991787","1851829.14739",2.07
"959433.991787","1851879.14739",1.4
"959433.991787","1852729.14739",1.39
"959433.991787","1852779.14739",363.29
"959433.991787","1852829.14739",327.57
"959433.991787","1852879.14739",76.49
"959433.991787","1852929.14739",8.43
"959433.991787","1853479.14739",0
"959433.991787","1853529.14739",0
"959483.991787","1851429.14739",0.52
"959483.991787","1851479.14739",0.89
"959483.991787","1851529.14739",0.65
"959483.991787","1851579.14739",0.26
"959483.991787","1851829.14739",0.12
"959483.991787","1851879.14739",2.47
"959483.991787","1851929.14739",3.21
"959483.991787","1851979.14739",3.55
"959483.991787","1852029.14739",9.86
"959483.991787","1852079.14739",16.34
"959483.991787","1852129.14739",17.21
"959483.991787","1852179.14739",15.82
"959483.991787","1852229.14739",9.81
"959483.991787","1852279.14739",7.34
"959483.991787","1852329.14739",0.07
"959483.991787","1852379.14739",0.27
"959483.991787","1852429.14739",0.79
"959483.991787","1852479.14739",1.63
"959483.991787","1852529.14739",0.44
"959483.991787","1852579.14739",5.94
"959483.991787","1852629.14739",1.7
"959483.991787","1852679.14739",4.26
"959483.991787","1852729.14739",4.4
"959483.991787","1852779.14739",74.71
"959483.991787","1852829.14739",164.67
"959483.991787","1852879.14739",96.73
"959483.991787","1852929.14739",8.38
"959483.991787","1853579.14739",0
"959483.991787","1853629.14739",0
"959533.991787","1851629.14739",0.12
"959533.991787","1852029.14739",0.99
"959533.991787","1852079.14739",5.84
"959533.991787","1852229.14739",0.94
"959533.991787","1852279.14739",0.86
"959533.991787","1852329.14739",0
"959533.991787","1852379.14739",0
"959533.991787","1852479.14739",1.87
"959533.991787","1852529.14739",3.9
"959533.991787","1852579.14739",16.05
"959533.991787","1852629.14739",17.91
"959533.991787","1852679.14739",18.34
"959533.991787","1852729.14739",3.08
"959533.991787","1852779.14739",1.43
"959533.991787","1852829.14739",78.59
"959533.991787","1852879.14739",135.76
"959533.991787","1852929.14739",7.27
"959533.991787","1852979.14739",2.32
"959533.991787","1853629.14739",0
"959533.991787","1853679.14739",0
"959533.991787","1853879.14739",0
"959583.991787","1852029.14739",0.22
"959583.991787","1852079.14739",7.46
"959583.991787","1852129.14739",7.46
"959583.991787","1852179.14739",2.19
"959583.991787","1852279.14739",2.63
"959583.991787","1852379.14739",0
"959583.991787","1852529.14739",1.68
"959583.991787","1852579.14739",16.67
"959583.991787","1852629.14739",36.54
"959583.991787","1852679.14739",35.25
"959583.991787","1852729.14739",11.61
"959583.991787","1852779.14739",0.78
"959583.991787","1852829.14739",212.52
"959583.991787","1852879.14739",17.61
"959583.991787","1853729.14739",0
"959583.991787","1853779.14739",0
"959583.991787","1853829.14739",0
"959583.991787","1853879.14739",0
"959633.991787","1852229.14739",0.96
"959633.991787","1852579.14739",12.13
"959633.991787","1852629.14739",22.43
"959633.991787","1852679.14739",3.43
"959633.991787","1852729.14739",15.8
"959633.991787","1852779.14739",183.49
"959633.991787","1852829.14739",368.77
"959633.991787","1852879.14739",62.04
"959633.991787","1853629.14739",0
"959683.991787","1852529.14739",1
"959683.991787","1852629.14739",5.31
"959683.991787","1852679.14739",14.48
"959683.991787","1852729.14739",2.43
"959683.991787","1852829.14739",339.13
"959683.991787","1852879.14739",21.35
"959733.991787","1852529.14739",0.26
"959733.991787","1852579.14739",0.31
"959733.991787","1852629.14739",0.47
"959733.991787","1852679.14739",4.42
"959733.991787","1852729.14739",9.48
"959733.991787","1852779.14739",0.22
"959733.991787","1852829.14739",4.42
"959783.991787","1851329.14739",0.13
"959783.991787","1852679.14739",1.2
"959783.991787","1852729.14739",4.42
"959783.991787","1852779.14739",8.32
"959783.991787","1852829.14739",58.48
"959783.991787","1852879.14739",84.98
"959783.991787","1854279.14739",0
"959783.991787","1854329.14739",0
"959833.991787","1852579.14739",0.4
"959833.991787","1852679.14739",2.94
"959833.991787","1852779.14739",232.35
"959833.991787","1852829.14739",492.56
"959833.991787","1852879.14739",101.96
"959833.991787","1852929.14739",34.91
"959833.991787","1852979.14739",16.95
"959833.991787","1854229.14739",0
"959833.991787","1854279.14739",0
"959833.991787","1854329.14739",0
"959833.991787","1854379.14739",0
"959883.991787","1852329.14739",0
"959883.991787","1852629.14739",6.47
"959883.991787","1852679.14739",1.54
"959883.991787","1852779.14739",137.87
"959883.991787","1852829.14739",572.78
"959883.991787","1852879.14739",159.67
"959883.991787","1852929.14739",16.96
"959883.991787","1853079.14739",0.26
"959883.991787","1853129.14739",0.25
"959883.991787","1854179.14739",0
"959883.991787","1854229.14739",0
"959883.991787","1854329.14739",0
"959933.991787","1852529.14739",4.34
"959933.991787","1852579.14739",4.34
"959933.991787","1852679.14739",52.4
"959933.991787","1852729.14739",22.44
"959933.991787","1852779.14739",53.19
"959933.991787","1852829.14739",99.38
"959933.991787","1852879.14739",169.23
"959933.991787","1852929.14739",72.04
"959933.991787","1852979.14739",9.03
"959933.991787","1853879.14739",0
"959933.991787","1854079.14739",0.04
"959983.991787","1852629.14739",10.63
"959983.991787","1852779.14739",22.38
"959983.991787","1852829.14739",87.58
"959983.991787","1852879.14739",58.77
"959983.991787","1852929.14739",55.67
"959983.991787","1852979.14739",9.81
"959983.991787","1853029.14739",8.23
"959983.991787","1853079.14739",6.07
"959983.991787","1853229.14739",18.65
"959983.991787","1853829.14739",0.08
"959983.991787","1854029.14739",0
"960033.991787","1852629.14739",4.32
"960033.991787","1852679.14739",12.86
"960033.991787","1852779.14739",15.88
"960033.991787","1852829.14739",60.48
"960033.991787","1852879.14739",1.87
"960033.991787","1852929.14739",37.08
"960033.991787","1852979.14739",91.66
"960033.991787","1853029.14739",70.71
"960033.991787","1853079.14739",6.87
"960033.991787","1853229.14739",10.06
"960033.991787","1853879.14739",0
"960033.991787","1853929.14739",0
"960033.991787","1853979.14739",0
"960033.991787","1854029.14739",0.12
"960033.991787","1854929.14739",0.76
"960083.991787","1852579.14739",3.68
"960083.991787","1852829.14739",16.31
"960083.991787","1852879.14739",8.38
"960083.991787","1852929.14739",25.02
"960083.991787","1852979.14739",65.8
"960083.991787","1853029.14739",94.78
"960083.991787","1853079.14739",2.93
"960083.991787","1853129.14739",7.49
"960083.991787","1853179.14739",29.71
"960083.991787","1853229.14739",24.62
"960083.991787","1853929.14739",0.57
"960083.991787","1854829.14739",4.41
"960083.991787","1854879.14739",1
"960133.991787","1852529.14739",4.55
"960133.991787","1852879.14739",0.71
"960133.991787","1852929.14739",1.41
"960133.991787","1852979.14739",68.74
"960133.991787","1853029.14739",85.29
"960133.991787","1853079.14739",60.97
"960133.991787","1853129.14739",255.4
"960133.991787","1853179.14739",66.39
"960133.991787","1853229.14739",18.22
"960133.991787","1853879.14739",1.3
"960133.991787","1853929.14739",0.46
"960133.991787","1854729.14739",0.17
"960133.991787","1854879.14739",2.16
"960133.991787","1854929.14739",0.57
"960133.991787","1855329.14739",0.05
"960183.991787","1852929.14739",27.33
"960183.991787","1852979.14739",12.54
"960183.991787","1853029.14739",23.6
"960183.991787","1853079.14739",24.28
"960183.991787","1853179.14739",75.88
"960183.991787","1853229.14739",66.63
"960183.991787","1853279.14739",25.94
"960183.991787","1853879.14739",0.53
"960183.991787","1853979.14739",0.47
"960183.991787","1854879.14739",2.57
"960183.991787","1855229.14739",0.14
"960183.991787","1855279.14739",0.12
"960233.991787","1851479.14739",0.48
"960233.991787","1851679.14739",0.72
"960233.991787","1851729.14739",0.72
"960233.991787","1852429.14739",1.61
"960233.991787","1852629.14739",2.4
"960233.991787","1852979.14739",6.83
"960233.991787","1853229.14739",37.46
"960233.991787","1853279.14739",37.36
"960233.991787","1853879.14739",3.32
"960233.991787","1853979.14739",11.68
"960233.991787","1854829.14739",0.57
"960233.991787","1854879.14739",0.67
"960233.991787","1854929.14739",0.24
"960233.991787","1855079.14739",1.06
"960233.991787","1855179.14739",2.73
"960283.991787","1851529.14739",0.47
"960283.991787","1851579.14739",0.47
"960283.991787","1851679.14739",0.8
"960283.991787","1851729.14739",0.72
"960283.991787","1851879.14739",0.87
"960283.991787","1852179.14739",0.6
"960283.991787","1852229.14739",1.29
"960283.991787","1852279.14739",0.6
"960283.991787","1852429.14739",1.17
"960283.991787","1853079.14739",41.32
"960283.991787","1853129.14739",11.04
"960283.991787","1853179.14739",2.4
"960283.991787","1853229.14739",8.15
"960283.991787","1853279.14739",5.73
"960283.991787","1853879.14739",3.65
"960283.991787","1853929.14739",7.6
"960283.991787","1853979.14739",5.37
"960283.991787","1854829.14739",0.12
"960283.991787","1854879.14739",0.43
"960283.991787","1854929.14739",0.2
"960283.991787","1855029.14739",0.21
"960283.991787","1855079.14739",1.74
"960283.991787","1855129.14739",0.85
"960283.991787","1855179.14739",3.35
"960283.991787","1855229.14739",1.58
"960333.991787","1851629.14739",0.72
"960333.991787","1851829.14739",0.87
"960333.991787","1852029.14739",0.12
"960333.991787","1852079.14739",2.92
"960333.991787","1852129.14739",2.92
"960333.991787","1852229.14739",0.6
"960333.991787","1852279.14739",0.6
"960333.991787","1852329.14739",1.24
"960333.991787","1852379.14739",0.57
"960333.991787","1853129.14739",8.19
"960333.991787","1853179.14739",2.86
"960333.991787","1853229.14739",5.08
"960333.991787","1853279.14739",5.87
"960333.991787","1853329.14739",4.43
"960333.991787","1853829.14739",2.66
"960333.991787","1853879.14739",4.62
"960333.991787","1854779.14739",0.12
"960333.991787","1854879.14739",0.34
"960333.991787","1854979.14739",0.89
"960333.991787","1855029.14739",0.75
"960333.991787","1855179.14739",0.4
"960383.991787","1852229.14739",6.72
"960383.991787","1853229.14739",0.6
"960383.991787","1853279.14739",1.56
"960383.991787","1853329.14739",2.34
"960383.991787","1853379.14739",9.53
"960383.991787","1853429.14739",17.51
"960383.991787","1853779.14739",0.35
"960383.991787","1853829.14739",0.5
"960383.991787","1854879.14739",0.58
"960383.991787","1854929.14739",0.74
"960383.991787","1854979.14739",0.56
"960433.991787","1852129.14739",6.72
"960433.991787","1852179.14739",6.72
"960433.991787","1853279.14739",1.11
"960433.991787","1853329.14739",6.02
"960433.991787","1853379.14739",22.69
"960433.991787","1853429.14739",11.91
"960433.991787","1853729.14739",0
"960433.991787","1854829.14739",0.13
"960433.991787","1854879.14739",0.09
"960433.991787","1854929.14739",0.09
"960483.991787","1853279.14739",0.98
"960483.991787","1853329.14739",113.22
"960483.991787","1853379.14739",34.09
"960483.991787","1853429.14739",20.59
"960483.991787","1853729.14739",0
"960483.991787","1853779.14739",0.12
"960483.991787","1854829.14739",0
"960483.991787","1854879.14739",0
"960533.991787","1850529.14739",0.01
"960533.991787","1850679.14739",0.09
"960533.991787","1851029.14739",4.87
"960533.991787","1853279.14739",11.26
"960533.991787","1853329.14739",41.38
"960533.991787","1853379.14739",263.52
"960533.991787","1853429.14739",113.13
"960533.991787","1854629.14739",0
"960533.991787","1854679.14739",0
"960533.991787","1854729.14739",0
"960583.991787","1850279.14739",36.03
"960583.991787","1850879.14739",1.55
"960583.991787","1853079.14739",0.1
"960583.991787","1853229.14739",2.06
"960583.991787","1853279.14739",10.83
"960583.991787","1853329.14739",311.28
"960583.991787","1853379.14739",321.29
"960583.991787","1853429.14739",19.57
"960583.991787","1853679.14739",0.03
"960583.991787","1854629.14739",0.11
"960633.991787","1850229.14739",20.57
"960633.991787","1850729.14739",2.81
"960633.991787","1850829.14739",1.55
"960633.991787","1850879.14739",1.55
"960633.991787","1852929.14739",0.16
"960633.991787","1853029.14739",0.1
"960633.991787","1853079.14739",0.38
"960633.991787","1853129.14739",0.29
"960633.991787","1853179.14739",2.89
"960633.991787","1853329.14739",27.99
"960633.991787","1853379.14739",30.15
"960633.991787","1853429.14739",5.02
"960633.991787","1854529.14739",11.7
"960633.991787","1854579.14739",11.66
"960683.991787","1850779.14739",4.98
"960683.991787","1852929.14739",0.09
"960683.991787","1853029.14739",0.24
"960683.991787","1853079.14739",0.12
"960683.991787","1853129.14739",0.31
"960683.991787","1853179.14739",1.06
"960683.991787","1853429.14739",51.69
"960683.991787","1853479.14739",21.59
"960683.991787","1853629.14739",0.08
"960683.991787","1854429.14739",12.05
"960683.991787","1854479.14739",4.21
"960733.991787","1850829.14739",4.98
"960733.991787","1853179.14739",2.42
"960733.991787","1853429.14739",73.73
"960733.991787","1853629.14739",0.18
"960733.991787","1854379.14739",21.58
"960733.991787","1854429.14739",4.51
"960733.991787","1854479.14739",12.05
"960783.991787","1853429.14739",96.95
"960783.991787","1853529.14739",24.43
"960783.991787","1853579.14739",21.3
"960783.991787","1853629.14739",10.57
"960783.991787","1854129.14739",0.98
"960783.991787","1854179.14739",1.31
"960783.991787","1854229.14739",1.49
"960783.991787","1854279.14739",21.93
"960783.991787","1854329.14739",4.78
"960783.991787","1854379.14739",13.1
"960833.991787","1852979.14739",0
"960833.991787","1853029.14739",0.09
"960833.991787","1853179.14739",0.12
"960833.991787","1853429.14739",53.67
"960833.991787","1853479.14739",92.91
"960833.991787","1853529.14739",20.54
"960833.991787","1853579.14739",9.97
"960833.991787","1854079.14739",0.21
"960833.991787","1854129.14739",2.61
"960833.991787","1854179.14739",5.16
"960833.991787","1854229.14739",12.19
"960833.991787","1854279.14739",18.92
"960833.991787","1854329.14739",4.06
"960833.991787","1854379.14739",14.32
"960883.991787","1850879.14739",2.89
"960883.991787","1853479.14739",104.07
"960883.991787","1853529.14739",23.26
"960883.991787","1854179.14739",0.96
"960883.991787","1854229.14739",15.53
"960883.991787","1854279.14739",11
"960883.991787","1854329.14739",11.72
"960883.991787","1854379.14739",5.13
"960933.991787","1850879.14739",0.7
"960933.991787","1853129.14739",0
"960933.991787","1853429.14739",8.42
"960933.991787","1853479.14739",62.74
"960933.991787","1853529.14739",8.42
"960933.991787","1854129.14739",1.74
"960933.991787","1854179.14739",1.58
"960933.991787","1854429.14739",0.82
"960983.991787","1851829.14739",0
"960983.991787","1853379.14739",8.41
"960983.991787","1853479.14739",43.74
"960983.991787","1854029.14739",4.47
"960983.991787","1854079.14739",3.63
"960983.991787","1854179.14739",0.21
"960983.991787","1854479.14739",0.59
"960983.991787","1854579.14739",0.45
"961033.991787","1851879.14739",0
"961033.991787","1853429.14739",38.62
"961033.991787","1853479.14739",66.54
"961033.991787","1853529.14739",79.02
"961033.991787","1853929.14739",12.82
"961033.991787","1853979.14739",21.33
