집계년월,시군명,시설번호,놀이시설명,설치일자,설치장소,민간공공구분명,실내외구분명,소재지우편번호,소재지지번주소,소재지도로명주소,경도,위도,Ride_risk,accident
201606,고양시,37507,예원어린이집 놀이터,20090819,어린이집,민간,실외,10538,경기도 고양시 덕양구 화전동 575-22번지 예원어린이집,경기도 고양시 덕양구 중앙로152번길 27-10,126.8712817,37.60285678,0.2,0.035
201606,고양시,518326,호수마을1단지 대우아파트 101동 102동사이 놀이터,20041201,주택단지,민간,실외,10422,경기도 고양시 일산동구 장항동 902번지 호수마을1단지아파트,,126.7792923,37.64883011,0.3,0.06
201606,고양시,16574,서정마을 1단지 어린이 놀이시설 3(111동 옆),20080723,주택단지,공공,실외,10486,경기도 고양시 덕양구 행신동 1074번지 서정마을1단지아파트,,126.8465706,37.61974695,0.3,0.06
201606,고양시,16578,서정마을 1단지 어린이 놀이시설 5(105동옆),20080723,주택단지,공공,실외,10486,경기도 고양시 덕양구 행신동 1074번지 서정마을1단지아파트,,126.8465706,37.61974695,0.3,0.06
201606,고양시,16581,서정마을 3단지 어린이 놀이시설 4(유아놀이터),20080703,주택단지,공공,실외,10534,경기도 고양시 덕양구 행신동 1096번지 서정마을3단지아파트,,126.8499786,37.61491318,0.3,0.06
201606,고양시,38142,위시티일산자이아파트4단지 408동 옆 제2중앙공원 놀이터,20100706,주택단지,민간,실외,10323,경기도 고양시 일산동구 식사동 1504번지 위시티일산자이4단지아파트,,126.815249,37.67938149,0.3,0.06
201606,고양시,37982,강선7단지아파트 711동 옆 어린이놀이터,20100615,주택단지,민간,실외,10388,경기도 고양시 일산서구 주엽동 65번지 강선마을7단지아파트,,126.7635952,37.67104418,0.3,0.06
201606,고양시,37966,시립식사어린이집 놀이터,20100820,어린이집,공공,실외,10324,경기도 고양시 일산동구 식사동 1569번지 1561-1,경기도 고양시 일산동구 위시티1로 25,126.8109888,37.67415805,0.2,0.035
201606,고양시,37701,에이스9차아파트 101동 어린이놀이터,20090724,주택단지,민간,실외,10339,경기도 고양시 일산서구 일산동 583-66번지 에이스9차아파트,,126.7765415,37.68901693,0.3,0.06
201606,고양시,16570,샘터마을 2단지 어린이 놀이시설 3(217동),19961001,주택단지,민간,실외,10518,경기도 고양시 덕양구 행신동 983번지 샘터마을2단지아파트,,126.8362041,37.62080492,0.3,0.06
201606,고양시,37654,대림e편한세상 어린이 놀이시설,20090915,주택단지,민간,실외,10294,경기도 고양시 덕양구 성사동 869번지 대림e편한세상아파트,,126.8399784,37.66121872,0.3,0.06
201606,고양시,37645,흰돌마을7단지 건영아파트 놀이터,20090917,주택단지,민간,실외,10420,경기도 고양시 일산동구 백석동 1191번지 흰돌마을7단지건영빌라,경기도 고양시 일산동구 강송로125번길 16,126.785067,37.65030048,0.3,0.06
