no,kios,district,name,location,address,rests,lat,lon,new
242,242,유성구,용산동,,유성구 용산동,,36.418687,127.395968,신설
243,243,유성구,탑립동,,유성구 탑립동,,36.413704,127.403298,신설
246,246,유성구,신성동,,유성구 신성동,,36.386029,127.348015,신설
250,250,유성구,,,유성선병원,,36.376283,127.323814,신설
251,251,유성구,,,유성구 죽동 유성경찰서,,36.3783,127.325755,신설
284,284,유성구,,,유성구 송강동 송강1단지앞 휴먼시아2차앞 3거리,,36.440196,127.384284,신설
285,285,유성구,,,유성구 송강프라자앞,,36.435623,127.386962,신설
286,286,유성구,,,유성구 용산동568 예수희망구족 교회 근처,,36.422429,127.39659,신설
287,287,유성구,,,유성구 화암동 194-19 만남의광장,,36.41663,127.376535,신설
288,288,유성구,,,유성구 하기동 송림5단지 6단지 근처,,36.39011,127.331048,신설
289,289,유성구,,,유성구 하기동 하기초등학교,,36.387779,127.322128,신설
290,290,유성구,,,유성구 노은동598 동신수산근처,,36.367279,127.321892,신설
291,291,유성구,,,유성구 죽동 773 (죽동택지개발지구내 새마을금고근처사거리),,36.370367,127.337965,신설
292,292,유성구,,,유성구 지족동 노은3지구 대전새미래초등학교앞 (말고개3거리),,36.381605,127.30223,신설
293,293,유성구,,,유성구 계산동 학하지구 오투그란데미학@ 진잠농협앞,,36.32639,127.303913,신설
294,294,유성구,,,유성구 복용동 삼거리,,36.343887,127.315197,신설
299,299,유성구,,,노은3지구 4단지?,,36.377778,127.304509,신설
