no,kios,district,name,location,address,rests,lat,lon,new,type,newtype
285,285,유성구,,,유성구 송강프라자앞,,36.435623,127.386962,추가고려,상업지구,추가고려상업지구
286,286,유성구,,,유성구 용산동568 예수희망구족 교회 근처,,36.422429,127.39659,추가고려,상업지구,추가고려상업지구
287,287,유성구,,,유성구 화암동 194-19 만남의광장,,36.41663,127.376535,추가고려,상업지구,추가고려상업지구
288,288,유성구,,,유성구 하기동 송림5단지 6단지 근처,,36.39011,127.331048,추가고려,주거지,추가고려주거지
289,289,유성구,,,유성구 하기동 하기초등학교,,36.387779,127.322128,추가고려,주거지,추가고려주거지
290,290,유성구,,,유성구 노은동598 동신수산근처,,36.367279,127.321892,추가고려,상업지구,추가고려상업지구
291,291,유성구,,,유성구 죽동 773 (죽동택지개발지구내 새마을금고근처사거리),,36.370367,127.337965,추가고려,상업지구,추가고려상업지구
292,292,유성구,,,유성구 지족동 노은3지구 대전새미래초등학교앞 (말고개3거리),,36.381605,127.30223,추가고려,주거지,추가고려주거지
293,293,유성구,,,유성구 계산동 학하지구 오투그란데미학@ 진잠농협앞,,36.32639,127.303913,추가고려,주거지,추가고려주거지
294,294,유성구,,,유성구 복용동 삼거리,,36.343887,127.315197,추가고려,상업지구,추가고려상업지구
295,295,서구,,,둔산동캐피탈타워,,36.358255,127.386833,추가고려,상업지구,추가고려상업지구
296,296,서구,,,옥녀봉3거리,,36.325737,127.348002,추가고려,상업지구,추가고려상업지구
297,297,동구,,,성남동스마트뷰,,36.344124,127.433855,추가고려,주거지,추가고려주거지
298,298,대덕구,,,중리동 동사무소,,36.36055,127.426325,추가고려,주거지,추가고려주거지
299,299,유성구,,,노은3지구 4단지?,,36.377778,127.304509,추가고려,주거지,추가고려주거지
300,300,서구,,,갈마동 갈마육교,,36.351348,127.371829,추가고려,상업지구,추가고려상업지구
301,301,서구,,,관저5지구 ,,36.294935,127.336803,추가고려,상업지구,추가고려상업지구
302,302,동구,,,동구 삼성동 홍도육교오거리,,36.342486,127.42345,추가고려,상업지구,추가고려상업지구
303,303,서구,,,월평2동 정류장?,,36.362137,127.374263,추가고려,주거지,추가고려주거지
304,304,서구,,,도안신도시 12~14단지?,,36.331991,127.341083,추가고려,주거지,추가고려주거지
