gid,경도,위도
다바575521,127.0249745000,36.6663446200
다바575522,127.0249689000,36.6672460800
다바575523,127.0249634000,36.6681475400
다바575524,127.0249578000,36.6690490100
다바575525,127.0249523000,36.6699504700
다바575526,127.0249468000,36.6708519300
다바575527,127.0249412000,36.6717533900
다바575528,127.0249357000,36.6726548500
다바575529,127.0249301000,36.6735563200
다바575530,127.0249246000,36.6744577800
다바575531,127.0249190000,36.6753592400
다바575532,127.0249135000,36.6762607000
다바575533,127.0249080000,36.6771621600
다바575534,127.0249024000,36.6780636200
다바575535,127.0248969000,36.6789650800
다바575536,127.0248913000,36.6798665400
다바575537,127.0248858000,36.6807680000
다바575538,127.0248802000,36.6816694600
다바575539,127.0248747000,36.6825709200
다바575540,127.0248692000,36.6834723800
다바575541,127.0248636000,36.6843738400
다바576510,127.0261542000,36.6564329800
다바576511,127.0261487000,36.6573344400
다바576512,127.0261432000,36.6582359100
다바576513,127.0261377000,36.6591373700
다바576514,127.0261321000,36.6600388300
다바576515,127.0261266000,36.6609403000
다바576516,127.0261211000,36.6618417600
다바576517,127.0261156000,36.6627432300
다바576518,127.0261100000,36.6636446900
다바576519,127.0261045000,36.6645461500
다바576520,127.0260990000,36.6654476100
다바576521,127.0260934000,36.6663490800
다바576522,127.0260879000,36.6672505400
다바576523,127.0260824000,36.6681520000
다바576524,127.0260769000,36.6690534700
다바576525,127.0260713000,36.6699549300
다바576526,127.0260658000,36.6708563900
다바576527,127.0260603000,36.6717578500
다바576528,127.0260548000,36.6726593100
다바576529,127.0260492000,36.6735607800
다바576530,127.0260437000,36.6744622400
다바576531,127.0260382000,36.6753637000
다바576532,127.0260326000,36.6762651600
다바576533,127.0260271000,36.6771666200
다바576534,127.0260216000,36.6780680800
다바576535,127.0260160000,36.6789695400
다바576536,127.0260105000,36.6798710000
다바576537,127.0260050000,36.6807724600
다바576538,127.0259995000,36.6816739200
다바576539,127.0259939000,36.6825753800
다바576540,127.0259884000,36.6834768500
다바576541,127.0259829000,36.6843783100
다바576542,127.0259773000,36.6852797700
다바576543,127.0259718000,36.6861812200
다바577509,127.0272786000,36.6555359600
다바577510,127.0272731000,36.6564374200
다바577511,127.0272676000,36.6573388900
다바577512,127.0272621000,36.6582403500
다바577513,127.0272565000,36.6591418200
다바577514,127.0272510000,36.6600432800
다바577515,127.0272455000,36.6609447400
다바577516,127.0272400000,36.6618462100
다바577517,127.0272345000,36.6627476700
다바577518,127.0272290000,36.6636491400
다바577519,127.0272235000,36.6645506000
다바577520,127.0272179000,36.6654520600
다바577521,127.0272124000,36.6663535200
다바577522,127.0272069000,36.6672549900
다바577523,127.0272014000,36.6681564500
다바577524,127.0271959000,36.6690579100
다바577525,127.0271904000,36.6699593800
다바577526,127.0271849000,36.6708608400
다바577527,127.0271793000,36.6717623000
다바577528,127.0271738000,36.6726637600
다바577529,127.0271683000,36.6735652200
다바577530,127.0271628000,36.6744666900
다바577531,127.0271573000,36.6753681500
다바577532,127.0271518000,36.6762696100
다바577533,127.0271462000,36.6771710700
다바577534,127.0271407000,36.6780725300
다바577535,127.0271352000,36.6789739900
다바577536,127.0271297000,36.6798754500
다바577537,127.0271242000,36.6807769100
다바577538,127.0271187000,36.6816783700
다바577539,127.0271131000,36.6825798300
다바577540,127.0271076000,36.6834813000
다바577541,127.0271021000,36.6843827600
다바577542,127.0270966000,36.6852842200
다바577543,127.0270911000,36.6861856800
다바577544,127.0270855000,36.6870871400
다바577545,127.0270800000,36.6879886000
다바578509,127.0283974000,36.6555404000
다바578510,127.0283919000,36.6564418600
다바578511,127.0283864000,36.6573433200
다바578512,127.0283809000,36.6582447900
다바578513,127.0283754000,36.6591462500
다바578514,127.0283699000,36.6600477200
다바578515,127.0283644000,36.6609491800
다바578516,127.0283589000,36.6618506400
다바578517,127.0283534000,36.6627521100
다바578518,127.0283479000,36.6636535700
다바578519,127.0283424000,36.6645550400
다바578520,127.0283369000,36.6654565000
다바578521,127.0283314000,36.6663579600
다바578522,127.0283259000,36.6672594200
다바578523,127.0283204000,36.6681608900
다바578524,127.0283149000,36.6690623500
다바578525,127.0283094000,36.6699638100
다바578526,127.0283039000,36.6708652800
다바578527,127.0282984000,36.6717667400
다바578528,127.0282929000,36.6726682000
다바578529,127.0282874000,36.6735696600
다바578530,127.0282819000,36.6744711200
다바578531,127.0282764000,36.6753725900
다바578532,127.0282709000,36.6762740500
다바578533,127.0282654000,36.6771755100
다바578534,127.0282599000,36.6780769700
다바578535,127.0282544000,36.6789784300
다바578536,127.0282489000,36.6798798900
다바578537,127.0282434000,36.6807813500
다바578538,127.0282379000,36.6816828100
다바578539,127.0282324000,36.6825842700
다바578540,127.0282269000,36.6834857300
다바578541,127.0282214000,36.6843872000
다바578542,127.0282159000,36.6852886600
다바578543,127.0282103000,36.6861901200
다바578544,127.0282048000,36.6870915800
다바578545,127.0281993000,36.6879930400
다바578546,127.0281938000,36.6888945000
다바579509,127.0295163000,36.6555448200
다바579510,127.0295108000,36.6564462800
다바579511,127.0295053000,36.6573477500
다바579512,127.0294998000,36.6582492100
다바579513,127.0294943000,36.6591506800
다바579514,127.0294888000,36.6600521400
다바579515,127.0294833000,36.6609536100
다바579516,127.0294779000,36.6618550700
다바579517,127.0294724000,36.6627565300
다바579518,127.0294669000,36.6636580000
다바579519,127.0294614000,36.6645594600
다바579520,127.0294559000,36.6654609200
다바579521,127.0294504000,36.6663623900
다바579522,127.0294449000,36.6672638500
다바579523,127.0294394000,36.6681653100
다바579524,127.0294339000,36.6690667800
다바579525,127.0294285000,36.6699682400
다바579526,127.0294230000,36.6708697000
다바579527,127.0294175000,36.6717711600
다바579528,127.0294120000,36.6726726300
다바579529,127.0294065000,36.6735740900
다바579530,127.0294010000,36.6744755500
다바579531,127.0293955000,36.6753770100
다바579532,127.0293900000,36.6762784700
다바579533,127.0293845000,36.6771799400
다바579534,127.0293791000,36.6780814000
다바579535,127.0293736000,36.6789828600
다바579536,127.0293681000,36.6798843200
다바579537,127.0293626000,36.6807857800
다바579538,127.0293571000,36.6816872400
다바579539,127.0293516000,36.6825887000
다바579540,127.0293461000,36.6834901600
다바579541,127.0293406000,36.6843916200
다바579542,127.0293351000,36.6852930800
다바579543,127.0293296000,36.6861945500
다바579544,127.0293241000,36.6870960100
다바579545,127.0293186000,36.6879974700
다바579546,127.0293131000,36.6888989200
다바579547,127.0293076000,36.6898003800
다바580508,127.0306406000,36.6546477700
다바580509,127.0306351000,36.6555492300
다바580510,127.0306296000,36.6564507000
다바580511,127.0306241000,36.6573521600
다바580512,127.0306187000,36.6582536300
다바580513,127.0306132000,36.6591550900
다바580514,127.0306077000,36.6600565600
다바580515,127.0306022000,36.6609580200
다바580516,127.0305968000,36.6618594900
다바580517,127.0305913000,36.6627609500
다바580518,127.0305858000,36.6636624100
다바580519,127.0305804000,36.6645638800
다바580520,127.0305749000,36.6654653400
다바580521,127.0305694000,36.6663668000
다바580522,127.0305639000,36.6672682700
다바580523,127.0305585000,36.6681697300
다바580524,127.0305530000,36.6690711900
다바580525,127.0305475000,36.6699726600
다바580526,127.0305420000,36.6708741200
다바580527,127.0305366000,36.6717755800
다바580528,127.0305311000,36.6726770400
다바580529,127.0305256000,36.6735785100
다바580530,127.0305201000,36.6744799700
다바580531,127.0305146000,36.6753814300
다바580532,127.0305092000,36.6762828900
다바580533,127.0305037000,36.6771843500
다바580534,127.0304982000,36.6780858200
다바580535,127.0304927000,36.6789872800
다바580536,127.0304873000,36.6798887400
다바580537,127.0304818000,36.6807902000
다바580538,127.0304763000,36.6816916600
다바580539,127.0304708000,36.6825931200
다바580540,127.0304653000,36.6834945800
다바580541,127.0304599000,36.6843960400
다바580542,127.0304544000,36.6852975000
다바580543,127.0304489000,36.6861989600
다바580544,127.0304434000,36.6871004200
다바580545,127.0304379000,36.6880018800
다바580546,127.0304325000,36.6889033400
다바580547,127.0304270000,36.6898048000
다바581508,127.0317594000,36.6546521700
다바581509,127.0317539000,36.6555536400
다바581510,127.0317485000,36.6564551000
다바581511,127.0317430000,36.6573565700
다바581512,127.0317375000,36.6582580300
다바581513,127.0317321000,36.6591595000
다바581514,127.0317266000,36.6600609600
다바581515,127.0317212000,36.6609624300
다바581516,127.0317157000,36.6618638900
다바581517,127.0317102000,36.6627653500
다바581518,127.0317048000,36.6636668200
다바581519,127.0316993000,36.6645682800
다바581520,127.0316939000,36.6654697500
다바581521,127.0316884000,36.6663712100
다바581522,127.0316829000,36.6672726700
다바581523,127.0316775000,36.6681741400
다바581524,127.0316720000,36.6690756000
다바581525,127.0316665000,36.6699770600
다바581526,127.0316611000,36.6708785200
다바581527,127.0316556000,36.6717799900
다바581528,127.0316502000,36.6726814500
다바581529,127.0316447000,36.6735829100
다바581530,127.0316392000,36.6744843700
다바581531,127.0316338000,36.6753858400
다바581532,127.0316283000,36.6762873000
다바581533,127.0316228000,36.6771887600
다바581534,127.0316174000,36.6780902200
다바581535,127.0316119000,36.6789916800
다바581536,127.0316064000,36.6798931500
다바581537,127.0316010000,36.6807946100
다바581538,127.0315955000,36.6816960700
다바581539,127.0315900000,36.6825975300
다바581540,127.0315846000,36.6834989900
다바581541,127.0315791000,36.6844004500
다바581542,127.0315736000,36.6853019100
다바581543,127.0315682000,36.6862033700
다바581544,127.0315627000,36.6871048300
다바581545,127.0315572000,36.6880062900
다바581546,127.0315518000,36.6889077500
다바581547,127.0315463000,36.6898092100
다바581548,127.0315408000,36.6907106700
다바582508,127.0328782000,36.6546565700
다바582509,127.0328728000,36.6555580300
다바582510,127.0328673000,36.6564595000
다바582511,127.0328619000,36.6573609600
다바582512,127.0328564000,36.6582624300
다바582513,127.0328510000,36.6591638900
다바582514,127.0328455000,36.6600653600
다바582515,127.0328401000,36.6609668200
다바582516,127.0328346000,36.6618682800
다바582517,127.0328292000,36.6627697500
다바582518,127.0328237000,36.6636712100
다바582519,127.0328183000,36.6645726800
다바582520,127.0328128000,36.6654741400
다바582521,127.0328074000,36.6663756000
다바582522,127.0328019000,36.6672770700
다바582523,127.0327965000,36.6681785300
다바582524,127.0327910000,36.6690799900
다바582525,127.0327856000,36.6699814600
다바582526,127.0327801000,36.6708829200
다바582527,127.0327747000,36.6717843800
다바582528,127.0327692000,36.6726858500
다바582529,127.0327638000,36.6735873100
다바582530,127.0327583000,36.6744887700
다바582531,127.0327529000,36.6753902300
다바582532,127.0327474000,36.6762917000
다바582533,127.0327420000,36.6771931600
다바582534,127.0327365000,36.6780946200
다바582535,127.0327311000,36.6789960800
다바582536,127.0327256000,36.6798975400
다바582537,127.0327202000,36.6807990000
다바582538,127.0327147000,36.6817004700
다바582539,127.0327093000,36.6826019300
다바582540,127.0327038000,36.6835033900
다바582541,127.0326984000,36.6844048500
다바582542,127.0326929000,36.6853063100
다바582543,127.0326875000,36.6862077700
다바582544,127.0326820000,36.6871092300
다바582545,127.0326765000,36.6880106900
다바582546,127.0326711000,36.6889121500
다바582547,127.0326656000,36.6898136100
다바582548,127.0326602000,36.6907150700
다바583508,127.0339970000,36.6546609500
다바583509,127.0339916000,36.6555624100
다바583510,127.0339862000,36.6564638800
다바583511,127.0339807000,36.6573653400
다바583512,127.0339753000,36.6582668100
다바583513,127.0339699000,36.6591682700
다바583514,127.0339644000,36.6600697400
다바583515,127.0339590000,36.6609712000
다바583516,127.0339535000,36.6618726700
다바583517,127.0339481000,36.6627741300
다바583518,127.0339427000,36.6636756000
다바583519,127.0339372000,36.6645770600
다바583520,127.0339318000,36.6654785200
다바583521,127.0339264000,36.6663799900
다바583522,127.0339209000,36.6672814500
다바583523,127.0339155000,36.6681829200
다바583524,127.0339101000,36.6690843800
다바583525,127.0339046000,36.6699858400
다바583526,127.0338992000,36.6708873100
다바583527,127.0338938000,36.6717887700
다바583528,127.0338883000,36.6726902300
다바583529,127.0338829000,36.6735916900
다바583530,127.0338774000,36.6744931600
다바583531,127.0338720000,36.6753946200
다바583532,127.0338666000,36.6762960800
다바583533,127.0338611000,36.6771975400
다바583534,127.0338557000,36.6780990100
다바583535,127.0338503000,36.6790004700
다바583536,127.0338448000,36.6799019300
다바583537,127.0338394000,36.6808033900
다바583538,127.0338339000,36.6817048500
다바583539,127.0338285000,36.6826063100
다바583540,127.0338231000,36.6835077800
다바583541,127.0338176000,36.6844092400
다바583542,127.0338122000,36.6853107000
다바583543,127.0338067000,36.6862121600
다바583544,127.0338013000,36.6871136200
다바583545,127.0337958000,36.6880150800
다바583546,127.0337904000,36.6889165400
다바583547,127.0337850000,36.6898180000
다바583548,127.0337795000,36.6907194600
다바583549,127.0337741000,36.6916209200
다바584509,127.0351104000,36.6555667900
다바584510,127.0351050000,36.6564682500
다바584511,127.0350996000,36.6573697200
다바584512,127.0350942000,36.6582711800
다바584513,127.0350887000,36.6591726500
다바584514,127.0350833000,36.6600741100
다바584515,127.0350779000,36.6609755800
다바584516,127.0350725000,36.6618770400
다바584517,127.0350671000,36.6627785100
다바584518,127.0350616000,36.6636799700
다바584519,127.0350562000,36.6645814300
다바584520,127.0350508000,36.6654829000
다바584521,127.0350454000,36.6663843600
다바584522,127.0350399000,36.6672858300
다바584523,127.0350345000,36.6681872900
다바584524,127.0350291000,36.6690887500
다바584525,127.0350237000,36.6699902200
다바584526,127.0350182000,36.6708916800
다바584527,127.0350128000,36.6717931400
다바584528,127.0350074000,36.6726946100
다바584529,127.0350020000,36.6735960700
다바584530,127.0349966000,36.6744975300
다바584531,127.0349911000,36.6753989900
다바584532,127.0349857000,36.6763004600
다바584533,127.0349803000,36.6772019200
다바584534,127.0349749000,36.6781033800
다바584535,127.0349694000,36.6790048400
다바584536,127.0349640000,36.6799063100
다바584537,127.0349586000,36.6808077700
다바584538,127.0349531000,36.6817092300
다바584539,127.0349477000,36.6826106900
다바584540,127.0349423000,36.6835121500
다바584541,127.0349369000,36.6844136100
다바584542,127.0349314000,36.6853150700
다바584543,127.0349260000,36.6862165300
다바584544,127.0349206000,36.6871180000
다바584545,127.0349152000,36.6880194600
다바584546,127.0349097000,36.6889209200
다바584547,127.0349043000,36.6898223800
다바584548,127.0348989000,36.6907238400
다바584549,127.0348934000,36.6916253000
다바585509,127.0362293000,36.6555711500
다바585510,127.0362238000,36.6564726100
다바585511,127.0362184000,36.6573740800
다바585512,127.0362130000,36.6582755400
다바585513,127.0362076000,36.6591770100
다바585514,127.0362022000,36.6600784700
다바585515,127.0361968000,36.6609799400
다바585516,127.0361914000,36.6618814000
다바585517,127.0361860000,36.6627828700
다바585518,127.0361806000,36.6636843300
다바585519,127.0361752000,36.6645858000
다바585520,127.0361698000,36.6654872600
다바585521,127.0361644000,36.6663887300
다바585522,127.0361589000,36.6672901900
다바585523,127.0361535000,36.6681916500
다바585524,127.0361481000,36.6690931200
다바585525,127.0361427000,36.6699945800
다바585526,127.0361373000,36.6708960400
다바585527,127.0361319000,36.6717975100
다바585528,127.0361265000,36.6726989700
다바585529,127.0361211000,36.6736004300
다바585530,127.0361157000,36.6745019000
다바585531,127.0361102000,36.6754033600
다바585532,127.0361048000,36.6763048200
다바585533,127.0360994000,36.6772062800
다바585534,127.0360940000,36.6781077500
다바585535,127.0360886000,36.6790092100
다바585536,127.0360832000,36.6799106700
