"gid","주차장","건물1","건물2","건물3","관공서","생산가능인구","전기차","충전소","교통량","유동인구","경도","위도","거리_전기차","거리_충전소","거리_교통량"
"다바795608",0,8,2,0,0,0,0,0,0,549.43,127.2709242,36.74550088,0,0,0
"다바795607",0,6,0,0,0,0,0,0,0,802.87,127.2709269,36.74459941,0,0,0
"다바795606",0,2,0,0,0,0,0,0,0,523.39,127.2709296,36.74369793,0,0,0
"다바795605",0,3,0,0,0,0,0,0,0,400.84,127.2709323,36.74279646,0,0,0
"다바795604",0,2,0,0,0,0,0,0,0,258.22,127.270935,36.74189498,0,0,0
"다바795603",0,1,0,0,0,0,0,0,0,450.85,127.2709376,36.74099351,0,0,0
"다바795602",0,1,0,0,0,0,0,0,0,965.33,127.2709403,36.74009203,0,0,0
"다바795601",0,0,0,0,0,0,0,0,0,3084.93,127.270943,36.73919056,0,0,0
"다바795600",0,0,0,0,0,0,0,0,0,583.92,127.2709457,36.73828908,0,0,0
"다바795599",0,0,0,0,0,0,0,0,0,0.41,127.2709484,36.7373876,0,0,0
"다바795598",0,0,0,0,0,0,0,0,0,0,127.270951,36.73648613,0,0,0
"다바795597",0,0,0,0,0,0,0,0,0,1.52,127.2709537,36.73558465,0,0,0
"다바795596",0,0,0,0,0,0,0,0,0,2.22,127.2709564,36.73468318,0,0,0
"다바795595",0,10,0,0,0,0,0,0,0,19.12,127.2709591,36.7337817,0,0,0
"다바795594",0,8,0,0,0,0,0,0,0,9.78,127.2709617,36.73288022,0,0,0
"다바795593",0,0,0,0,0,0,0,0,0,188.93,127.2709644,36.73197875,0,0,0
"다바795592",0,0,0,0,0,0,0,0,0,16.67,127.2709671,36.73107727,0,0,0
"다바795591",0,10,0,0,0,0,0,0,0,133.77,127.2709698,36.73017579,0,0,0
"다바795590",0,0,0,0,0,0,0,0,0,5.88,127.2709725,36.72927432,0,0,0
"다바795589",0,0,0,0,0,0,0,0,0,1598.6,127.2709751,36.72837284,0,0,0
"다바795588",0,0,0,0,0,0,0,0,0,0,127.2709778,36.72747136,0,0,0
"다바795587",0,0,0,0,0,0,0,0,0,0,127.2709805,36.72656989,0,0,0
"다바795586",0,0,0,0,0,0,0,0,0,0,127.2709832,36.72566841,0,0,0
"다바795585",0,0,0,0,0,0,0,0,0,4.21,127.2709858,36.72476693,0,0,0
"다바795584",0,1,0,0,0,0,0,0,0,5.79,127.2709885,36.72386545,0,0,0
"다바795583",0,0,0,0,0,0,0,0,0,0.48,127.2709912,36.72296398,0,0,0
"다바795582",0,0,0,0,0,0,0,0,0,0.94,127.2709939,36.7220625,0,0,0
"다바795581",0,0,0,0,0,0,0,0,0,0,127.2709965,36.72116102,0,0,0
"다바795580",0,0,0,0,0,0,0,0,0,0,127.2709992,36.72025954,0,0,0
