type,name,add1,add2,lat,lon
이동화장실,엑스포다리 하부(수목원 앞),대전광역시 서구 만년동 565,,36.370981,127.388254
이동화장실,엑스포다리 상류,대전광역시 서구 만년동 597,,36.371387,127.384247
이동화장실,만년동 KBS 앞,대전광역시 서구 만년동 611,,36.371414,127.380463
이동화장실,만년동 둔천초교 앞,대전광역시 서구 만년동 670,,36.368417,127.372881
이동화장실,월평동 주공1단지@ 앞,대전광역시 서구 만년동 682,,36.365176,127.368904
이동화장실,월평동 다모아@ 앞,대전광역시 서구 월평동 1557,,36.362953,127.364745
이동화장실,갑천대교 상류,대전광역시 서구 월평동 216,,36.357651,127.358399
이동화장실,만년대교 하부,대전광역시 서구 월평동 186-7,,36.350931,127.350784
이동화장실,입의마을 앞,대전광역시 서구 월평동 191-5,,36.341486,127.353341
이동화장실,정림중학교,대전광역시 서구 정림동 290-2,,36.297134,127.361678
이동화장실,모세골교 하류,대전광역시 서구 괴곡동 960-14,,36.290252,127.358831
이동화장실,흑석동 상보안유원지,대전광역시 서구 흑석동 738-1,,36.274491,127.345525
이동화장실,흑석동 상보안유원지 낚시터,대전광역시 서구 흑석동 738,,36.276905,127.342832
이동화장실,흑석동 적십자수련원 앞,대전광역시 서구 흑석동 530-12,,36.278407,127.334108
이동화장실,흑석동 장평유원지,대전광역시 서구 흑석동 804,,36.274186,127.335661
이동화장실,흑석동 장평보 옆,대전광역시 서구 흑석동 749,,36.271269,127.340288
이동화장실,봉곡동 낚시터,대전광역시 서구 용촌동 90-2,,36.254554,127.327618
이동화장실,봉곡2교 옆,대전광역시 서구 봉곡동 519,,36.254488,127.325127
이동화장실,신구교 하류 축구장,대전광역시 유성구 봉산동 170-3,,36.436595,127.391419
이동화장실,관평천 합류점 하류,대전광역시 유성구 관평동 7-37,,36.431311,127.398349
이동화장실,용신교 상류,대전광역시 유성구 용산동 7-2,,36.427454,127.403193
이동화장실,파크골프장(하),대전광역시 유성구 탑립동 263-2,,36.423433,127.409092
이동화장실,파크골프장(상),대전광역시 유성구 탑립동 184-5,,36.417709,127.414809
이동화장실,갑천교 하류(고속도로 옆),대전광역시 유성구 전민동 94-1,,36.405606,127.412252
이동화장실,MBC앞(도룡동 513-1),대전광역시 유성구 원촌동 49-4,,36.375908,127.399479
이동화장실,무역전시관 앞,대전광역시 유성구 도룡동 582,,36.374162,127.389729
이동화장실,엑스포아트홀 앞,대전광역시 유성구 도룡동 217-2,,36.374323,127.381222
이동화장실,대전지방기상청 앞,대전광역시 유성구 구성동 51-2,,36.370122,127.371546
이동화장실,과기원 ~ 기상청사이,대전광역시 유성구 구성동 410-64,,36.367061,127.366927
이동화장실,과학기술원 앞1,대전광역시 유성구 구성동 309-2,,36.364017,127.361087
이동화장실,과학기술원 앞2(창고사용),대전광역시 유성구 구성동 410-65,,36.362829,127.359245
이동화장실,만년대교 하류,대전광역시 유성구 봉명동 702,,36.354178,127.350358
이동화장실,계룡대교 하류,대전광역시 유성구 봉명동 496-25,,36.350396,127.348388
