name,lat,lon,district,type,distype,,
엑스포다리 하부(수목원 앞),36.370981,127.388254,서구,이동화장실,서구이동화장실,,
엑스포다리 상류,36.371387,127.384247,서구,이동화장실,서구이동화장실,,
만년동 KBS 앞,36.371414,127.380463,서구,이동화장실,서구이동화장실,,
만년동 둔천초교 앞,36.368417,127.372881,서구,이동화장실,서구이동화장실,,
월평동 주공1단지@ 앞,36.365176,127.368904,서구,이동화장실,서구이동화장실,,
월평동 다모아@ 앞,36.362953,127.364745,서구,이동화장실,서구이동화장실,,
갑천대교 상류,36.357651,127.358399,서구,이동화장실,서구이동화장실,,
만년대교 하부,36.350931,127.350784,서구,이동화장실,서구이동화장실,,
입의마을 앞,36.341486,127.353341,서구,이동화장실,서구이동화장실,,
정림중학교,36.297134,127.361678,서구,이동화장실,서구이동화장실,,
모세골교 하류,36.290252,127.358831,서구,이동화장실,서구이동화장실,,
흑석동 상보안유원지,36.274491,127.345525,서구,이동화장실,서구이동화장실,,
흑석동 상보안유원지 낚시터,36.276905,127.342832,서구,이동화장실,서구이동화장실,,
흑석동 적십자수련원 앞,36.278407,127.334108,서구,이동화장실,서구이동화장실,,
흑석동 장평유원지,36.274186,127.335661,서구,이동화장실,서구이동화장실,,
흑석동 장평보 옆,36.271269,127.340288,서구,이동화장실,서구이동화장실,,
봉곡동 낚시터,36.254554,127.327618,서구,이동화장실,서구이동화장실,,
봉곡2교 옆,36.254488,127.325127,서구,이동화장실,서구이동화장실,,
정림중보 옆,36.285141,127.356354,서구,이동화장실,서구이동화장실,,
평송수련원 앞 입구,36.363768,127.394504,서구,이동화장실,서구이동화장실,,
샘머리(아) 앞,36.361532,127.396462,서구,이동화장실,서구이동화장실,,
한밭대교 위(보라@앞),36.353496,127.401905,서구,이동화장실,서구이동화장실,,
용문교 상류1,36.344384,127.401885,서구,이동화장실,서구이동화장실,,
판암,36.316896,127.458264,동구,지하철,동구지하철,,
신흥,36.319652,127.448792,동구,지하철,동구지하철,,
대동,36.329532,127.442848,동구,지하철,동구지하철,,
대전,36.331583,127.433118,동구,지하철,동구지하철,,
우성사료물류 앞,36.312942,127.440799,동구,이동화장실,동구이동화장실,,
석교상류 제방,36.307131,127.449492,동구,이동화장실,동구이동화장실,,
관리사B,36.330173,127.484626,동구,공중화장실,동구공중화장실,,
세천주차장,36.330751,127.480535,동구,공중화장실,동구공중화장실,,
생태공원,36.330049,127.482423,동구,공중화장실,동구공중화장실,,
식장산정상,36.304297,127.484101,동구,공중화장실,동구공중화장실,,
가야장갑 앞,36.342109,127.414263,대덕구,이동화장실,대덕구이동화장실,,
에코공원 내,36.448896,127.443598,대덕구,이동화장실,대덕구이동화장실,,
비래정 앞,36.357257,127.460174,대덕구,공중화장실,대덕구공중화장실,,
관리사A,36.358301,127.458505,대덕구,공중화장실,대덕구공중화장실,,
봉황마당,36.382002,127.437474,대덕구,공중화장실,대덕구공중화장실,,
용화사 입구,36.382002,127.437474,대덕구,공중화장실,대덕구공중화장실,,
장동사무실 옆,36.405691,127.442199,대덕구,공중화장실,대덕구공중화장실,,
물놀이장,36.405392,127.445632,대덕구,공중화장실,대덕구공중화장실,,
다목적광장,36.401128,127.451235,대덕구,공중화장실,대덕구공중화장실,,
공연장,36.401128,127.451235,대덕구,공중화장실,대덕구공중화장실,,
산성입구,36.396316,127.449379,대덕구,공중화장실,대덕구공중화장실,,
맹꽁이 서식지,36.452378,127.402184,대덕구,이동화장실,대덕구이동화장실,,
신구교 야구장,36.444941,127.391877,대덕구,이동화장실,대덕구이동화장실,,
신구교 야구장,36.443621,127.391097,대덕구,이동화장실,대덕구이동화장실,,
신구교 야구장,36.441139,127.391403,대덕구,이동화장실,대덕구이동화장실,,
신구교 야구장,36.439106,127.393424,대덕구,이동화장실,대덕구이동화장실,,
용신교 축구장,36.435951,127.398402,대덕구,이동화장실,대덕구이동화장실,,
용신교 축구장,36.435197,127.399479,대덕구,이동화장실,대덕구이동화장실,,
와동 잔디포(하),36.413274,127.420253,대덕구,이동화장실,대덕구이동화장실,,
와동 잔디포(하),36.409958,127.418971,대덕구,이동화장실,대덕구이동화장실,,
와동 잔디포(상),36.408804,127.418224,대덕구,이동화장실,대덕구이동화장실,,
와동 잔디포(상),36.406245,127.416799,대덕구,이동화장실,대덕구이동화장실,,
원촌교 상류 경사로 입구,36.377512,127.410538,대덕구,이동화장실,대덕구이동화장실,,
안구만리(축구장),36.368364,127.396891,대덕구,이동화장실,대덕구이동화장실,,
체육시설,36.350125,127.405107,대덕구,이동화장실,대덕구이동화장실,,
