gid,주차장,건물1,건물2,건물3,관공서,생산가능인구,전기차,충전소,교통량,유동인구,경도,위도
다바623537,,0,0,0,0,,0,0,,,127.0786075,36.68097023
다바623536,,0,0,0,0,,0,0,,,127.0786125,36.68006876
다바623535,,5,0,0,0,,0,0,,,127.0786174,36.67916729
다바623534,,4,0,0,0,,0,0,,4.5,127.0786223,36.67826583
다바623533,,0,0,0,0,,0,0,,,127.0786272,36.67736436
다바623532,,0,0,0,0,,0,0,,,127.0786321,36.67646289
다바623531,,0,0,0,0,,0,0,,,127.078637,36.67556142
다바623530,,0,0,0,0,,0,0,,,127.078642,36.67465996
다바623529,,0,0,0,0,,0,0,,,127.0786469,36.67375849
다바623528,,0,0,0,0,,0,0,,,127.0786518,36.67285702
다바623527,,0,0,0,0,,0,0,,,127.0786567,36.67195555
다바623526,,1,0,0,0,,0,0,,8.4,127.0786616,36.67105408
다바623525,,0,0,0,0,,0,0,,2.4,127.0786665,36.67015261
다바623524,,0,0,0,0,,0,0,,,127.0786714,36.66925115
다바623523,,0,0,0,0,,0,0,,,127.0786764,36.66834968
다바623522,,0,0,0,0,,0,0,,,127.0786813,36.66744821
다바623521,,0,0,0,0,,0,0,,,127.0786862,36.66654674
다바623520,,0,0,0,0,,0,0,,,127.0786911,36.66564527
다바623519,,0,0,0,0,,0,0,,,127.078696,36.6647438
다바623518,,0,0,0,0,,0,0,,,127.0787009,36.66384233
다바623517,,0,0,0,0,,0,0,,,127.0787058,36.66294086
다바623516,,0,0,0,0,,0,0,,,127.0787108,36.66203939
다바623515,,0,0,0,0,,0,0,,0.07,127.0787157,36.66113792
다바623514,,0,0,0,0,,0,0,,,127.0787206,36.66023645
다바623513,,0,0,0,0,,0,0,,17.28,127.0787255,36.65933498
다바623512,,1,0,0,0,,0,0,,12.3,127.0787304,36.65843351
다바623511,,0,0,0,0,,0,0,,7.07,127.0787353,36.65753204
다바623510,,1,0,0,0,,0,0,,0,127.0787402,36.65663057
다바623509,,1,0,0,0,25,0,0,,0.88,127.0787451,36.6557291
다바623508,,0,0,0,0,,0,0,,0.08,127.07875,36.65482763
다바623507,,0,0,0,0,,0,0,,,127.078755,36.65392616
다바623506,,0,0,0,0,,0,0,,,127.0787599,36.65302468
다바623505,,0,0,0,0,,0,0,,,127.0787648,36.65212321
다바623504,,0,0,0,0,,0,0,,,127.0787697,36.65122174
다바623503,,0,0,0,0,,0,0,,,127.0787746,36.65032027
다바623502,,0,0,0,0,,0,0,,,127.0787795,36.6494188
다바623501,,0,0,0,0,,0,0,,,127.0787844,36.64851733
다바623500,,0,0,0,0,,0,0,,,127.0787893,36.64761585
다바623499,,0,0,0,0,,0,0,,,127.0787942,36.64671438
다바623498,,0,0,0,0,,0,0,,,127.0787991,36.64581291
다바623497,,0,0,0,0,,0,0,,,127.0788041,36.64491144
다바623496,,0,0,0,0,,0,0,,,127.078809,36.64400997
다바623495,,0,0,0,0,,0,0,,,127.0788139,36.64310849
다바623494,,0,0,0,0,,0,0,,0.09,127.0788188,36.64220702
다바622825,,0,0,0,0,,0,0,,,127.0760593,36.94058302
다바622824,,0,0,0,0,,0,0,,,127.0760643,36.9396816
다바622823,,0,0,0,0,,0,0,,,127.0760693,36.93878017
다바622822,,0,0,0,0,,0,0,,,127.0760743,36.93787874
다바622821,,0,0,0,0,,0,0,,,127.0760793,36.93697731
다바622820,,0,0,0,0,,0,0,,,127.0760843,36.93607589
다바622819,,0,0,0,0,,0,0,,,127.0760892,36.93517446
다바622569,,0,0,0,0,,0,0,,,127.0773305,36.70981313
다바622568,,0,0,0,0,,0,0,,,127.0773354,36.70891167
다바622567,,0,0,0,0,,0,0,,,127.0773403,36.70801021
다바622566,,0,0,0,0,,0,0,,,127.0773453,36.70710874
다바622565,,0,0,0,0,,0,0,,,127.0773502,36.70620728
다바622564,,0,0,0,0,,0,0,,,127.0773551,36.70530582
다바622563,,0,0,0,0,,0,0,,,127.0773601,36.70440436
다바622562,,0,0,0,0,,0,0,,,127.077365,36.70350289
다바622561,,0,0,0,0,,0,0,,,127.0773699,36.70260143
다바622560,,0,0,0,0,,0,0,,,127.0773749,36.70169996
다바622559,,0,0,0,0,,0,0,,,127.0773798,36.7007985
다바622558,,0,0,0,0,,0,0,,,127.0773847,36.69989704
다바622557,,0,0,0,0,,0,0,,,127.0773897,36.69899557
다바622556,,0,0,0,0,,0,0,,,127.0773946,36.69809411
다바622555,,0,0,0,0,,0,0,,,127.0773996,36.69719264
다바622554,,0,0,0,0,,0,0,,,127.0774045,36.69629118
다바622553,,0,0,0,0,,0,0,,,127.0774094,36.69538972
다바622552,,0,0,0,0,,0,0,,,127.0774144,36.69448825
다바622551,,0,0,0,0,,0,0,,,127.0774193,36.69358679
다바622550,,0,0,0,0,,0,0,,,127.0774242,36.69268532
다바622549,,14,0,0,0,13,0,0,,8.62,127.0774292,36.69178386
다바622548,,2,0,0,0,,0,0,,3.48,127.0774341,36.69088239
다바622547,,0,0,0,0,,0,0,,,127.077439,36.68998092
다바622546,,0,0,0,0,,0,0,,,127.077444,36.68907946
다바622545,,0,0,0,0,,0,0,,,127.0774489,36.68817799
다바622544,,1,0,0,0,,0,0,,295.51,127.0774538,36.68727653
다바622543,,0,0,0,0,,0,0,,15.34,127.0774587,36.68637506
다바622542,,1,0,0,0,,0,0,,25.87,127.0774637,36.6854736
다바622541,,0,0,0,0,,0,0,,13.83,127.0774686,36.68457213
다바622540,,0,0,0,0,,0,0,,51.02,127.0774735,36.68367066
다바622539,,1,0,0,0,,0,0,,15.78,127.0774785,36.6827692
다바622538,,0,0,0,0,,0,0,,6.7,127.0774834,36.68186773
다바622537,,0,0,0,0,,0,0,,,127.0774883,36.68096626
다바622536,,8,0,0,0,,0,0,,0.85,127.0774933,36.6800648
다바622535,,3,0,0,0,,0,0,,,127.0774982,36.67916333
다바622534,,4,0,0,0,,0,0,,,127.0775031,36.67826186
다바622533,,13,0,0,0,19,0,0,,2.58,127.0775081,36.67736039
다바622532,,3,0,0,0,,0,0,,5.33,127.077513,36.67645893
다바622531,,0,0,0,0,,0,0,,,127.0775179,36.67555746
다바622530,,0,0,0,0,,0,0,,,127.0775228,36.67465599
다바622529,,0,0,0,0,,0,0,,,127.0775278,36.67375452
다바622528,,0,0,0,0,,0,0,,,127.0775327,36.67285305
다바622527,,0,0,0,0,,0,0,,4.51,127.0775376,36.67195159
다바622526,,0,0,0,0,,0,0,,29.33,127.0775426,36.67105012
다바622525,,0,0,0,0,,0,0,,,127.0775475,36.67014865
다바622524,,0,0,0,0,,0,0,,,127.0775524,36.66924718
다바622523,,0,0,0,0,,0,0,,,127.0775573,36.66834571
다바622522,,0,0,0,0,,0,0,,,127.0775623,36.66744424
다바622521,,0,0,0,0,,0,0,,,127.0775672,36.66654277
다바622520,,0,0,0,0,,0,0,,,127.0775721,36.66564131
다바622519,,0,0,0,0,,0,0,,,127.077577,36.66473984
다바622518,,0,0,0,0,,0,0,,,127.077582,36.66383837
다바622517,,0,0,0,0,,0,0,,0,127.0775869,36.6629369
다바622516,,0,0,0,0,,0,0,,0.32,127.0775918,36.66203543
다바622515,,0,0,0,0,,0,0,,0.76,127.0775967,36.66113396
다바622514,,0,0,0,0,,0,0,,,127.0776017,36.66023249
다바622513,,3,0,0,0,6,0,0,,75.13,127.0776066,36.65933102
다바622512,,1,0,0,0,,0,0,,76.25,127.0776115,36.65842955
다바622511,,0,0,0,0,,0,0,,12.3,127.0776164,36.65752808
다바622510,,0,0,0,0,,0,0,,,127.0776214,36.65662661
다바622509,,0,0,0,0,,0,0,,,127.0776263,36.65572514
다바622508,,0,0,0,0,,0,0,,,127.0776312,36.65482367
다바622507,,0,0,0,0,,0,0,,,127.0776361,36.65392219
다바622506,,0,0,0,0,,0,0,,,127.0776411,36.65302072
다바622505,,0,0,0,0,,0,0,,,127.077646,36.65211925
다바622504,,0,0,0,0,,0,0,,,127.0776509,36.65121778
다바622503,,0,0,0,0,,0,0,,,127.0776558,36.65031631
다바622502,,0,0,0,0,,0,0,,,127.0776608,36.64941484
다바622501,,0,0,0,0,,0,0,,,127.0776657,36.64851337
다바622500,,0,0,0,0,,0,0,,,127.0776706,36.64761189
다바622499,,0,0,0,0,,0,0,,,127.0776755,36.64671042
다바622498,,0,0,0,0,,0,0,,,127.0776804,36.64580895
다바622497,,0,0,0,0,,0,0,,,127.0776854,36.64490748
다바622496,,0,0,0,0,,0,0,,,127.0776903,36.644006
다바622495,,0,0,0,0,,0,0,,,127.0776952,36.64310453
다바622494,,0,0,0,0,,0,0,,,127.0777001,36.64220306
다바621824,,0,0,0,0,,0,0,,,127.0749413,36.93967758
다바621823,,0,0,0,0,,0,0,,,127.0749463,36.93877616
다바621822,,0,0,0,0,,0,0,,,127.0749513,36.93787473
다바621821,,0,0,0,0,,0,0,,,127.0749563,36.9369733
다바621820,,0,0,0,0,,0,0,,,127.0749613,36.93607187
다바621819,,0,0,0,0,,0,0,,,127.0749663,36.93517044
다바621569,,0,0,0,0,,0,0,,,127.0762108,36.70980915
다바621568,,0,0,0,0,,0,0,,,127.0762158,36.70890769
다바621567,,0,0,0,0,,0,0,,,127.0762207,36.70800623
다바621566,,0,0,0,0,,0,0,,,127.0762257,36.70710476
다바621565,,0,0,0,0,,0,0,,,127.0762306,36.7062033
다바621564,,0,0,0,0,,0,0,,,127.0762356,36.70530184
다바621563,,0,0,0,0,,0,0,,,127.0762405,36.70440038
다바621562,,0,0,0,0,,0,0,,,127.0762455,36.70349891
다바621561,,0,0,0,0,,0,0,,,127.0762504,36.70259745
다바621560,,0,0,0,0,,0,0,,,127.0762554,36.70169599
다바621559,,0,0,0,0,,0,0,,,127.0762603,36.70079452
다바621558,,0,0,0,0,,0,0,,,127.0762653,36.69989306
다바621557,,0,0,0,0,,0,0,,,127.0762702,36.69899159
다바621556,,0,0,0,0,,0,0,,,127.0762752,36.69809013
다바621555,,0,0,0,0,,0,0,,,127.0762801,36.69718867
다바621554,,0,0,0,0,,0,0,,,127.0762851,36.6962872
다바621553,,0,0,0,0,,0,0,,,127.07629,36.69538574
다바621552,,0,0,0,0,,0,0,,,127.0762949,36.69448427
다바621551,,0,0,0,0,,0,0,,,127.0762999,36.69358281
다바621550,,0,0,0,0,,0,0,,,127.0763048,36.69268134
다바621549,,15,0,0,0,,0,0,,3.14,127.0763098,36.69177988
다바621548,,4,0,0,0,,0,0,,11.89,127.0763147,36.69087841
다바621547,,0,0,0,0,,0,0,,,127.0763197,36.68997695
다바621546,,0,0,0,0,,0,0,,0.75,127.0763246,36.68907548
다바621545,,0,0,0,0,,0,0,,91.28,127.0763296,36.68817402
다바621544,,0,0,0,0,,0,0,,96.25,127.0763345,36.68727255
다바621543,,0,0,0,0,,0,0,,5.43,127.0763395,36.68637108
다바621542,,2,0,0,1,,0,0,,28.16,127.0763444,36.68546962
다바621541,,10,0,0,0,7,0,0,,319.12,127.0763493,36.68456815
다바621540,,1,0,0,0,,0,0,,266.47,127.0763543,36.68366669
다바621539,,3,0,0,0,,0,0,,318.66,127.0763592,36.68276522
다바621538,,0,0,0,0,,0,0,,4.52,127.0763642,36.68186375
다바621537,,0,0,0,0,,0,0,,1.41,127.0763691,36.68096229
다바621536,,0,0,0,0,,0,0,,4.71,127.0763741,36.68006082
다바621535,,2,0,0,0,,0,0,,161.88,127.076379,36.67915935
다바621534,,0,0,0,0,,0,0,,24.92,127.076384,36.67825789
다바621533,,0,0,0,0,,0,0,,10.3,127.0763889,36.67735642
다바621532,,0,0,0,0,,0,0,,5.72,127.0763938,36.67645495
다바621531,,0,0,0,0,,0,0,,,127.0763988,36.67555348
다바621530,,0,0,0,0,,0,0,,,127.0764037,36.67465202
다바621529,,0,0,0,0,,0,0,,,127.0764087,36.67375055
다바621528,,0,0,0,0,,0,0,,,127.0764136,36.67284908
다바621527,,4,0,0,0,,0,0,,3.26,127.0764185,36.67194761
