"건물용도코드","건물일련번호","경도","위도","건물종류","가점척도"
8104,61596,127.1801488,36.83354965,"대학교",2
8104,61602,127.1769437,36.83486351,"대학교",2
8104,61594,127.1816749,36.8336847,"대학교",2
8104,61585,127.1810851,36.83399538,"대학교",2
8104,61595,127.179664,36.83392507,"대학교",2
8104,61578,127.1766065,36.83406586,"대학교",2
8104,61587,127.1803242,36.83229524,"대학교",2
8104,61574,127.1811342,36.83493152,"대학교",2
8104,61592,127.1810579,36.83389004,"대학교",2
8104,61580,127.1766896,36.83444236,"대학교",2
8104,61597,127.1780876,36.83304431,"대학교",2
8104,61576,127.1811874,36.83279726,"대학교",2
8104,61611,127.1806141,36.83354872,"대학교",2
8104,61572,127.179993,36.83450388,"대학교",2
8104,61588,127.1812886,36.83398082,"대학교",2
8104,61589,127.1806727,36.83384375,"대학교",2
8104,61617,127.1806841,36.83362045,"대학교",2
8104,61613,127.180928,36.83381116,"대학교",2
8104,61599,127.1790466,36.83421117,"대학교",2
8104,61590,127.1764974,36.83439237,"대학교",2
8104,61598,127.1807329,36.83405472,"대학교",2
8104,61607,127.1812824,36.83419251,"대학교",2
8104,61665,127.1820172,36.83398712,"대학교",2
8104,61619,127.179304,36.8328115,"대학교",2
8104,61615,127.1765463,36.83363418,"대학교",2
8104,61610,127.1772847,36.83386181,"대학교",2
8104,61583,127.1804655,36.83153165,"대학교",2
8104,61603,127.1765741,36.83395281,"대학교",2
8104,61577,127.1799835,36.83451888,"대학교",2
8104,61575,127.1766845,36.83423069,"대학교",2
8104,61621,127.1805619,36.83184977,"대학교",2
8104,61616,127.1805267,36.83367205,"대학교",2
8104,61620,127.181145,36.83187068,"대학교",2
8104,61593,127.1819962,36.83393911,"대학교",2
8104,61586,127.1783305,36.83403279,"대학교",2
8104,61571,127.1809928,36.83130719,"대학교",2
8104,61579,127.1766531,36.83417685,"대학교",2
8104,61584,127.1782291,36.83404994,"대학교",2
8104,61582,127.1774827,36.83350599,"대학교",2
8104,61581,127.1770132,36.83264227,"대학교",2
8104,61606,127.1818723,36.83454144,"대학교",2
8104,61612,127.1765908,36.83401079,"대학교",2
8104,61604,127.1802406,36.83420478,"대학교",2
2001,59901,127.1314428,36.78983083,"아파트",2
2001,59902,127.1319408,36.78995384,"아파트",2
2001,59887,127.1318903,36.78947599,"아파트",2
2001,59900,127.1314639,36.79008763,"아파트",2
2001,59899,127.1313741,36.78960186,"아파트",2
2001,59886,127.1318761,36.78898935,"아파트",2
2001,26983,127.1317913,36.79369929,"아파트",2
2001,26985,127.1318559,36.79414643,"아파트",2
2001,26996,127.1330683,36.79365614,"아파트",2
2001,26997,127.1330206,36.79413187,"아파트",2
2001,26982,127.1329711,36.79468302,"아파트",2
2001,57652,127.2341326,36.78283173,"아파트",2
2001,57653,127.234249,36.78353321,"아파트",2
2001,61246,127.2245091,36.73888848,"아파트",2
2001,61244,127.2243176,36.73916923,"아파트",2
2001,11895,127.1864159,36.83007829,"아파트",2
2001,11921,127.1888585,36.82818893,"아파트",2
2001,11909,127.1896548,36.8290951,"아파트",2
2001,11916,127.1883262,36.82816881,"아파트",2
2001,11910,127.1893919,36.82819001,"아파트",2
2001,11913,127.1894997,36.82861376,"아파트",2
2001,11922,127.1889587,36.82771028,"아파트",2
2001,11917,127.1900872,36.82863584,"아파트",2
2001,11918,127.1889076,36.82866363,"아파트",2
2001,11887,127.1897596,36.82978974,"아파트",2
2001,11882,127.1896161,36.83073833,"아파트",2
2001,11886,127.1886145,36.83005004,"아파트",2
2001,11867,127.1902603,36.83018787,"아파트",2
2001,11891,127.1869279,36.82985261,"아파트",2
2001,11885,127.1896316,36.8302685,"아파트",2
2001,11868,127.190791,36.83005654,"아파트",2
2001,11883,127.1901187,36.83060391,"아파트",2
2001,11893,127.1875551,36.83011916,"아파트",2
7107,14099,127.245791,36.75394447,"병원",2
7107,14104,127.2462882,36.7547562,"병원",2
7107,14107,127.2463726,36.754002,"병원",2
